Ano;Semana;Municipio;Casos
2023;SEMANA 12;260600 GARANHUNS;1
2023;SEMANA 13;260600 GARANHUNS;5
2023;SEMANA 14;260600 GARANHUNS;0
2023;SEMANA 15;260600 GARANHUNS;2
2023;SEMANA 16;260600 GARANHUNS;1
2023;SEMANA 17;260600 GARANHUNS;1
2023;SEMANA 18;260600 GARANHUNS;0
2023;SEMANA 19;260600 GARANHUNS;0
2023;SEMANA 20;260600 GARANHUNS;0
2023;SEMANA 21;260600 GARANHUNS;0
2023;SEMANA 22;260600 GARANHUNS;2
2023;SEMANA 23;260600 GARANHUNS;1
2023;SEMANA 24;260600 GARANHUNS;1
2023;SEMANA 25;260600 GARANHUNS;1
2023;SEMANA 26;260600 GARANHUNS;5
2023;SEMANA 27;260600 GARANHUNS;1
2023;SEMANA 28;260600 GARANHUNS;1
2023;SEMANA 29;260600 GARANHUNS;6
2023;SEMANA 30;260600 GARANHUNS;4
2023;SEMANA 31;260600 GARANHUNS;0
2023;SEMANA 32;260600 GARANHUNS;3
2023;SEMANA 33;260600 GARANHUNS;0
2023;SEMANA 34;260600 GARANHUNS;1
2023;SEMANA 35;260600 GARANHUNS;0
2023;SEMANA 36;260600 GARANHUNS;0
2023;SEMANA 37;260600 GARANHUNS;6
2023;SEMANA 38;260600 GARANHUNS;3
2023;SEMANA 39;260600 GARANHUNS;6
2023;SEMANA 40;260600 GARANHUNS;2
2023;SEMANA 41;260600 GARANHUNS;2
2023;SEMANA 42;260600 GARANHUNS;3
2023;SEMANA 43;260600 GARANHUNS;3
2023;SEMANA 44;260600 GARANHUNS;0
2023;SEMANA 45;260600 GARANHUNS;4
2023;SEMANA 46;260600 GARANHUNS;0
2023;SEMANA 47;260600 GARANHUNS;0
2023;SEMANA 48;260600 GARANHUNS;0
2023;SEMANA 49;260600 GARANHUNS;1
2023;SEMANA 50;260600 GARANHUNS;0
2023;SEMANA 51;260600 GARANHUNS;3
2023;SEMANA 52;260600 GARANHUNS;0
2024;SEMANA 01;260600 GARANHUNS;2
2024;SEMANA 02;260600 GARANHUNS;2
2024;SEMANA 03;260600 GARANHUNS;0
2024;SEMANA 04;260600 GARANHUNS;6
2024;SEMANA 05;260600 GARANHUNS;11
2024;SEMANA 06;260600 GARANHUNS;18
2024;SEMANA 07;260600 GARANHUNS;20
2024;SEMANA 08;260600 GARANHUNS;74
2024;SEMANA 09;260600 GARANHUNS;65
2024;SEMANA 10;260600 GARANHUNS;54
2024;SEMANA 11;260600 GARANHUNS;79
2024;SEMANA 12;260600 GARANHUNS;90
2024;SEMANA 13;260600 GARANHUNS;55
2024;SEMANA 14;260600 GARANHUNS;111
2024;SEMANA 15;260600 GARANHUNS;127
2024;SEMANA 16;260600 GARANHUNS;203
2024;SEMANA 17;260600 GARANHUNS;221
2024;SEMANA 18;260600 GARANHUNS;127
2024;SEMANA 19;260600 GARANHUNS;121
2024;SEMANA 20;260600 GARANHUNS;95
2024;SEMANA 21;260600 GARANHUNS;120
2024;SEMANA 22;260600 GARANHUNS;74
2024;SEMANA 23;260600 GARANHUNS;97
2024;SEMANA 24;260600 GARANHUNS;38
2024;SEMANA 25;260600 GARANHUNS;75
2024;SEMANA 26;260600 GARANHUNS;68
2024;SEMANA 27;260600 GARANHUNS;42
2024;SEMANA 28;260600 GARANHUNS;41
2024;SEMANA 29;260600 GARANHUNS;24
2024;SEMANA 30;260600 GARANHUNS;19
2024;SEMANA 31;260600 GARANHUNS;15
2024;SEMANA 32;260600 GARANHUNS;17
2024;SEMANA 33;260600 GARANHUNS;21
2024;SEMANA 34;260600 GARANHUNS;17
2024;SEMANA 35;260600 GARANHUNS;8
2024;SEMANA 36;260600 GARANHUNS;12
2024;SEMANA 37;260600 GARANHUNS;7
2024;SEMANA 38;260600 GARANHUNS;4
2024;SEMANA 39;260600 GARANHUNS;2
2024;SEMANA 40;260600 GARANHUNS;2
2024;SEMANA 41;260600 GARANHUNS;4
2024;SEMANA 42;260600 GARANHUNS;0
2024;SEMANA 43;260600 GARANHUNS;5
2024;SEMANA 44;260600 GARANHUNS;4
2024;SEMANA 45;260600 GARANHUNS;3
2024;SEMANA 46;260600 GARANHUNS;0
2024;SEMANA 47;260600 GARANHUNS;1
2024;SEMANA 48;260600 GARANHUNS;2
2024;SEMANA 49;260600 GARANHUNS;2
2024;SEMANA 50;260600 GARANHUNS;3
2024;SEMANA 51;260600 GARANHUNS;11
2024;SEMANA 52;260600 GARANHUNS;9
2025;SEMANA 01;260600 GARANHUNS;0
2025;SEMANA 02;260600 GARANHUNS;0
2025;SEMANA 03;260600 GARANHUNS;4
2025;SEMANA 04;260600 GARANHUNS;1
2025;SEMANA 05;260600 GARANHUNS;0
2025;SEMANA 06;260600 GARANHUNS;3
2025;SEMANA 07;260600 GARANHUNS;3
2025;SEMANA 08;260600 GARANHUNS;3
2025;SEMANA 09;260600 GARANHUNS;3
2025;SEMANA 10;260600 GARANHUNS;4
2025;SEMANA 11;260600 GARANHUNS;2
2025;SEMANA 12;260600 GARANHUNS;3
2025;SEMANA 13;260600 GARANHUNS;3
2025;SEMANA 14;260600 GARANHUNS;2
2025;SEMANA 15;260600 GARANHUNS;1
2025;SEMANA 16;260600 GARANHUNS;1
2025;SEMANA 17;260600 GARANHUNS;3
2025;SEMANA 18;260600 GARANHUNS;2
2025;SEMANA 19;260600 GARANHUNS;7
2025;SEMANA 20;260600 GARANHUNS;3
2025;SEMANA 21;260600 GARANHUNS;6
