ESTIMATIVAS DA POPULAÇÃO RESIDENTE NOS MUNICÍPIOS BRASILEIROS COM DATA DE REFERÊNCIA EM 1º DE JULHO DE 2024,,,,,
(UF),NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
(MG),Diogo de Vasconcelos,"3,596"
(MG),Dionísio,"6,789"
(MG),Divinésia,"4,426"
(MG),Divino,"21,329"
(MG),Divino das Laranjeiras,"4,186"
(MG),Divinolândia de Minas,"6,607"
(MG),Divinópolis,"242,328"
(MG),Divisa Alegre,"6,513"
(MG),Divisa Nova,"5,993"
(MG),Divisópolis,"10,585"
(MG),Dom Bosco,"3,767"
(MG),Dom Cavati,"4,981"
(MG),Dom Joaquim,"5,051"
(MG),Dom Silvério,"5,350"
(MG),Dom Viçoso,"3,176"
(MG),Dona Euzébia,"6,241"
(MG),Dores de Campos,"10,313"
(MG),Dores de Guanhães,"5,121"
(MG),Dores do Indaiá,"12,786"
(MG),Dores do Turvo,"5,159"
(MG),Doresópolis,"1,496"
(MG),Douradoquara,"1,869"
(MG),Durandé,"8,038"
(MG),Elói Mendes,"27,343"
(MG),Engenheiro Caldas,"14,308"
(MG),Engenheiro Navarro,"6,411"
(MG),Entre Folhas,"5,293"
(MG),Entre Rios de Minas,"15,120"
(MG),Ervália,"20,951"
(MG),Esmeraldas,"91,573"
(MG),Espera Feliz,"24,761"
(MG),Espinosa,"31,385"
(MG),Espírito Santo do Dourado,"7,007"
(MG),Estiva,"11,836"
(MG),Estrela Dalva,"2,204"
(MG),Estrela do Indaiá,"2,750"
(MG),Estrela do Sul,"6,926"
(MG),Eugenópolis,"11,075"
(MG),Ewbank da Câmara,"3,977"
(MG),Extrema,"57,913"
(MG),Fama,"2,662"
(MG),Faria Lemos,"3,239"
(MG),Felício dos Santos,"5,248"
(MG),São Gonçalo do Rio Preto,"3,098"
(MG),Felisburgo,"6,592"
(MG),Felixlândia,"14,279"
(MG),Fernandes Tourinho,"2,825"
(MG),Ferros,"9,666"
(MG),Fervedouro,"10,693"
(MG),Florestal,"8,386"
(MG),Formiga,"70,668"
(MG),Formoso,"8,103"
(MG),Fortaleza de Minas,"3,485"
(MG),Fortuna de Minas,"3,207"
(MG),Francisco Badaró,"7,208"
(MG),Francisco Dumont,"4,564"
(MG),Francisco Sá,"23,819"
(MG),Franciscópolis,"5,062"
(MG),Frei Gaspar,"5,741"
(MG),Frei Inocêncio,"8,334"
(MG),Frei Lagonegro,"3,475"
(MG),Fronteira,"14,909"
(MG),Fronteira dos Vales,"4,405"
(MG),Fruta de Leite,"4,607"
(MG),Frutal,"60,942"
(MG),Funilândia,"4,886"
(MG),Galiléia,"6,281"
(MG),Gameleiras,"4,863"
(MG),Glaucilândia,"2,991"
(MG),Goiabeira,"2,869"
(MG),Goianá,"4,190"
(MG),Gonçalves,"4,891"
(MG),Gonzaga,"5,271"
(MG),Gouveia,"11,549"
(MG),Governador Valadares,"266,649"
(MG),Grão Mogol,"14,091"
(MG),Grupiara,"1,426"
(MG),Guanhães,"33,434"
(MG),Guapé,"14,073"
(MG),Guaraciaba,"9,921"
(MG),Guaraciama,"5,203"
(MG),Guaranésia,"19,611"
(MG),Guarani,"7,780"
(MG),Guarará,"3,132"
(MG),Guarda-Mor,"6,684"
(MG),Guaxupé,"52,621"
(MG),Guidoval,"7,284"
(MG),Guimarânia,"8,808"
(MG),Guiricema,"7,850"
(MG),Gurinhatã,"5,203"
(MG),Heliodora,"6,274"
(MG),Iapu,"12,486"
(MG),Ibertioga,"5,334"
(MG),Ibiá,"22,596"
(MG),Ibiaí,"6,254"
(MG),Ibiracatu,"5,139"
(MG),Ibiraci,"11,057"
(MG),Ibirité,"178,713"
(MG),Ibitiúra de Minas,"3,439"
(MG),Ibituruna,"2,740"
(MG),Icaraí de Minas,"10,912"
(MG),Igarapé,"48,475"
(MG),Igaratinga,"11,252"
(MG),Iguatama,"6,845"
(MG),Ijaci,"7,291"
(MG),Ilicínea,"13,171"
(MG),Imbé de Minas,"7,208"
(MG),Inconfidentes,"7,510"
(MG),Indaiabira,"6,379"
(MG),Indianópolis,"6,309"
(MG),Ingaí,"2,633"
(MG),Inhapim,"23,000"
(MG),Inhaúma,"6,435"
(MG),Inimutaba,"7,587"
(MG),Ipaba,"17,554"
(MG),Ipanema,"20,095"
(MG),Ipatinga,"235,445"
(MG),Ipiaçu,"3,823"
(MG),Ipuiúna,"9,299"
(MG),Iraí de Minas,"7,423"
(MG),Itabira,"117,747"
(MG),Itabirinha,"10,560"
(MG),Itabirito,"55,877"
(MG),Itacambira,"4,265"
(MG),Itacarambi,"17,521"
(MG),Itaguara,"14,325"
(MG),Itaipé,"10,549"
(MG),Itajubá,"96,632"
(MG),Itamarandiba,"34,137"
(MG),Itamarati de Minas,"3,730"
(MG),Itambacuri,"21,296"
(MG),Itambé do Mato Dentro,"2,175"
(MG),Itamogi,"11,062"
(MG),Itamonte,"15,193"
(MG),Itanhandu,"15,684"
(MG),Itanhomi,"11,298"
(MG),Itaobim,"19,354"
(MG),Itapagipe,"14,004"
(MG),Itapecerica,"21,462"
(MG),Itapeva,"13,332"
(MG),Itatiaiuçu,"13,603"
(MG),Itaú de Minas,"14,655"
(MG),Itaúna,"102,500"
(MG),Itaverava,"5,752"
(MG),Itinga,"13,982"
(MG),Itueta,"6,218"
(MG),Ituiutaba,"106,397"
(MG),Itumirim,"6,845"
(MG),Iturama,"40,011"
(MG),Itutinga,"4,347"
(MG),Jaboticatubas,"21,214"
(MG),Jacinto,"11,169"
(MG),Jacuí,"7,663"
(MG),Jacutinga,"26,705"
(MG),Jaguaraçu,"3,173"
(MG),Jaíba,"39,379"
(MG),Jampruca,"4,306"
(MG),Janaúba,"73,281"
(MG),Januária,"67,087"
(MG),Japaraíba,"4,672"
(MG),Japonvar,"8,357"
(MG),Jeceaba,"6,428"
(MG),Jenipapo de Minas,"6,124"
(MG),Jequeri,"12,652"
(MG),Jequitaí,"6,460"
(MG),Jequitibá,"6,098"
(MG),Jequitinhonha,"24,509"
(MG),Jesuânia,"5,296"
(MG),Joaíma,"14,084"
(MG),Joanésia,"4,304"
(MG),João Monlevade,"83,360"
(MG),João Pinheiro,"48,532"
(MG),Joaquim Felício,"3,891"
(MG),Jordânia,"10,536"
(MG),José Gonçalves de Minas,"3,993"
(MG),José Raydan,"4,352"
(MG),Josenópolis,"3,607"
(MG),Nova União,"6,083"
(MG),Juatuba,"32,726"
(MG),Juiz de Fora,"565,764"
(MG),Juramento,"3,815"
(MG),Juruaia,"11,543"
(MG),Juvenília,"5,929"
(MG),Ladainha,"14,399"
(MG),Lagamar,"6,672"
(MG),Lagoa da Prata,"53,583"
(MG),Lagoa dos Patos,"3,285"
(MG),Lagoa Dourada,"13,116"
(MG),Lagoa Formosa,"19,507"
(MG),Lagoa Grande,"9,210"
(MG),Lagoa Santa,"79,981"
(MG),Lajinha,"21,422"
(MG),Lambari,"20,950"
(MG),Lamim,"3,226"
(MG),Laranjal,"6,042"
(MG),Lassance,"7,358"
(MG),Lavras,"109,884"
(MG),Leandro Ferreira,"3,270"
(MG),Leme do Prado,"4,387"
(MG),Leopoldina,"52,696"
(MG),Liberdade,"4,775"
(MG),Lima Duarte,"17,712"
(MG),Limeira do Oeste,"9,087"
(MG),Lontra,"8,968"
(MG),Luisburgo,"7,195"
(MG),Luislândia,"6,329"
(MG),Luminárias,"5,731"
(MG),Luz,"18,304"
(MG),Machacalis,"6,579"
(MG),Machado,"38,831"
(MG),Madre de Deus de Minas,"5,341"
(MG),Malacacheta,"17,751"
(MG),Mamonas,"6,096"
(MG),Manga,"19,188"
(MG),Manhuaçu,"96,545"
(MG),Manhumirim,"20,970"
(MG),Mantena,"27,358"
(MG),Maravilhas,"7,518"
(MG),Mar de Espanha,"13,119"
(MG),Maria da Fé,"14,557"
(MG),Mariana,"64,058"
(MG),Marilac,"4,320"
(MG),Mário Campos,"16,546"
(MG),Maripá de Minas,"3,532"
(MG),Marliéria,"4,761"
(MG),Marmelópolis,"3,299"
(MG),Martinho Campos,"14,461"
(MG),Martins Soares,"8,725"
(MG),Mata Verde,"9,458"
(MG),Materlândia,"3,982"
(MG),Mateus Leme,"40,239"
(MG),Matias Barbosa,"14,501"
(MG),Matias Cardoso,"8,975"
(MG),Matipó,"19,054"
(MG),Mato Verde,"12,238"
(MG),Matozinhos,"39,291"
(MG),Matutina,"3,907"
(MG),Medeiros,"4,040"
(MG),Medina,"20,492"
(MG),Mendes Pimentel,"5,651"
(MG),Mercês,"10,609"
(MG),Mesquita,"5,038"
(MG),Minas Novas,"24,191"
(MG),Minduri,"3,815"
(MG),Mirabela,"14,029"
(MG),Miradouro,"9,026"
(MG),Miraí,"13,922"
(MG),Miravânia,"4,011"
(MG),Moeda,"5,291"
(MG),Moema,"7,778"
(MG),Monjolos,"2,196"
(MG),Monsenhor Paulo,"8,550"
(MG),Montalvânia,"14,160"
(MG),Monte Alegre de Minas,"20,666"
(MG),Monte Azul,"20,577"
(MG),Monte Belo,"13,340"
(MG),Monte Carmelo,"49,354"
(MG),Monte Formoso,"4,449"
(MG),Monte Santo de Minas,"21,301"
(MG),Montes Claros,"434,321"
(MG),Monte Sião,"24,933"
(MG),Montezuma,"6,979"
(MG),Morada Nova de Minas,"9,364"
(MG),Morro da Garça,"2,438"
(MG),Morro do Pilar,"3,174"
(MG),Munhoz,"7,857"
(MG),Muriaé,"108,161"
(MG),Mutum,"28,670"
(MG),Muzambinho,"22,527"
(MG),Nacip Raydan,"2,437"
(MG),Nanuque,"35,554"
(MG),Naque,"6,442"
(MG),Natalândia,"3,626"
(MG),Natércia,"4,800"
(MG),Nazareno,"8,390"
(MG),Nepomuceno,"25,774"
(MG),Ninheira,"10,915"
(MG),Nova Belém,"3,156"
(MG),Nova Era,"17,807"
(MG),Nova Lima,"119,142"
(MG),Nova Módica,"3,731"
(MG),Nova Ponte,"15,113"
(MG),Nova Porteirinha,"6,780"
(MG),Nova Resende,"16,854"
(MG),Nova Serrana,"112,910"
(MG),Novo Cruzeiro,"27,453"
(MG),Novo Oriente de Minas,"10,501"
(MG),Novorizonte,"4,630"
(MG),Olaria,"1,986"
(MG),Olhos-d'Água,"5,520"
(MG),Olímpio Noronha,"2,616"
(MG),Oliveira,"40,552"
(MG),Oliveira Fortes,"2,062"
(MG),Onça de Pitangui,"3,027"
(MG),Oratórios,"5,076"
(MG),Orizânia,"8,759"
(MG),Ouro Branco,"40,411"
(MG),Ouro Fino,"33,227"
(MG),Ouro Preto,"77,601"
(MG),Ouro Verde de Minas,"5,858"
(MG),Padre Carvalho,"5,085"
(MG),Padre Paraíso,"17,537"
(MG),Paineiras,"4,273"
(MG),Pains,"8,341"
(MG),Pai Pedro,"5,634"
(MG),Paiva,"1,498"
(MG),Palma,"5,742"
(MG),Palmópolis,"6,373"
(MG),Papagaios,"14,207"
(MG),Paracatu,"98,397"
(MG),Pará de Minas,"102,033"
(MG),Paraguaçu,"22,357"
(MG),Paraisópolis,"21,005"
(MG),Paraopeba,"24,800"
(MG),Passabém,"1,617"
(MG),Passa Quatro,"15,842"
(MG),Passa Tempo,"8,696"
(MG),Passa Vinte,"2,301"
(MG),Passos,"116,530"
(MG),Patis,"4,863"
(MG),Patos de Minas,"167,870"
(MG),Patrocínio,"93,852"
(MG),Patrocínio do Muriaé,"5,735"
(MG),Paula Cândido,"8,786"
(MG),Paulistas,"4,429"
(MG),Pavão,"8,168"
(MG),Peçanha,"17,843"
(MG),Pedra Azul,"24,999"
(MG),Pedra Bonita,"7,559"
(MG),Pedra do Anta,"3,371"
(MG),Pedra do Indaiá,"4,232"
(MG),Pedra Dourada,"2,883"
(MG),Pedralva,"10,924"
(MG),Pedras de Maria da Cruz,"10,619"
(MG),Pedrinópolis,"3,404"
(MG),Pedro Leopoldo,"64,910"
(MG),Pedro Teixeira,"1,854"
(MG),Pequeri,"3,448"
(MG),Pequi,"4,258"
(MG),Perdigão,"12,925"
(MG),Perdizes,"17,830"
(MG),Perdões,"21,991"
(MG),Periquito,"6,647"
(MG),Pescador,"3,587"
(MG),Piau,"2,854"
(MG),Piedade de Caratinga,"8,883"
(MG),Piedade de Ponte Nova,"4,056"
(MG),Piedade do Rio Grande,"4,697"
(MG),Piedade dos Gerais,"5,175"
(MG),Pimenta,"8,794"
(MG),Pingo-d'Água,"4,845"
(MG),Pintópolis,"7,231"
(MG),Piracema,"6,884"
(MG),Pirajuba,"5,762"
(MG),Piranga,"17,360"
(MG),Piranguçu,"6,271"
(MG),Piranguinho,"9,451"
(MG),Pirapetinga,"11,408"
(MG),Pirapora,"57,543"
(MG),Piraúba,"11,958"
(MG),Pitangui,"27,734"
(MG),Piumhi,"37,742"
(MG),Planura,"11,484"
(MG),Poço Fundo,"16,791"
(MG),Poços de Caldas,"171,533"
(MG),Pocrane,"8,468"
(MG),Pompéu,"32,305"
(MG),Ponte Nova,"59,569"
(MG),Ponto Chique,"3,807"
(MG),Ponto dos Volantes,"11,077"
(MG),Porteirinha,"38,668"
(MG),Porto Firme,"10,825"
(MG),Poté,"13,751"
(MG),Pouso Alegre,"160,751"
(MG),Pouso Alto,"6,755"
(MG),Prados,"9,327"
(MG),Prata,"29,578"
(MG),Pratápolis,"8,551"
(MG),Pratinha,"3,673"
(MG),Presidente Bernardes,"4,883"
(MG),Presidente Juscelino,"3,493"
(MG),Presidente Kubitschek,"3,154"
(MG),Presidente Olegário,"19,177"
(MG),Alto Jequitibá,"8,596"
(MG),Prudente de Morais,"11,940"
(MG),Quartel Geral,"3,237"
(MG),Queluzito,"1,800"
(MG),Raposos,"16,735"
(MG),Raul Soares,"23,882"
(MG),Recreio,"11,337"
(MG),Reduto,"8,170"
(MG),Resende Costa,"11,520"
(MG),Resplendor,"17,612"
(MG),Ressaquinha,"4,641"
(MG),Riachinho,"6,890"
(MG),Riacho dos Machados,"8,886"
(MG),Ribeirão das Neves,"344,828"
(MG),Ribeirão Vermelho,"4,201"
(MG),Rio Acima,"10,626"
(MG),Rio Casca,"12,921"
(MG),Rio Doce,"2,542"
(MG),Rio do Prado,"4,679"
(MG),Rio Espera,"5,479"
(MG),Rio Manso,"5,727"
(MG),Rio Novo,"8,689"
(MG),Rio Paranaíba,"15,143"
(MG),Rio Pardo de Minas,"29,123"
(MG),Rio Piracicaba,"15,001"
(MG),Rio Pomba,"17,856"
(MG),Rio Preto,"5,240"
(MG),Rio Vermelho,"12,815"
(MG),Ritápolis,"5,115"
(MG),Rochedo de Minas,"2,363"
(MG),Rodeiro,"9,064"
(MG),Romaria,"3,440"
(MG),Rosário da Limeira,"4,896"
(MG),Rubelita,"5,572"
(MG),Rubim,"10,575"
(MG),Sabará,"134,286"
(MG),Sabinópolis,"14,382"
(MG),Sacramento,"27,891"
(MG),Salinas,"41,641"
(MG),Salto da Divisa,"6,164"
(MG),Santa Bárbara,"31,756"
(MG),Santa Bárbara do Leste,"8,737"
(MG),Santa Bárbara do Monte Verde,"3,199"
(MG),Santa Bárbara do Tugúrio,"4,262"
(MG),Santa Cruz de Minas,"8,321"
(MG),Santa Cruz de Salinas,"3,944"
(MG),Santa Cruz do Escalvado,"4,743"
(MG),Santa Efigênia de Minas,"4,067"
(MG),Santa Fé de Minas,"3,551"
(MG),Santa Helena de Minas,"6,059"
(MG),Santa Juliana,"16,568"
(MG),Santa Luzia,"229,483"
(MG),Santa Margarida,"16,903"
(MG),Santa Maria de Itabira,"10,716"
(MG),Santa Maria do Salto,"4,803"
(MG),Santa Maria do Suaçuí,"12,898"
(MG),Santana da Vargem,"6,781"
(MG),Santana de Cataguases,"3,553"
(MG),Santana de Pirapama,"7,079"
(MG),Santana do Deserto,"3,819"
(MG),Santana do Garambéu,"2,175"
(MG),Santana do Jacaré,"4,265"
(MG),Santana do Manhuaçu,"9,236"
(MG),Santana do Paraíso,"48,286"
(MG),Santana do Riacho,"5,579"
(MG),Santana dos Montes,"3,507"
(MG),Santa Rita de Caldas,"8,588"
(MG),Santa Rita de Jacutinga,"4,836"
(MG),Santa Rita de Minas,"6,952"
(MG),Santa Rita de Ibitipoca,"3,344"
(MG),Santa Rita do Itueto,"5,973"
(MG),Santa Rita do Sapucaí,"42,320"
(MG),Santa Rosa da Serra,"3,476"
(MG),Santa Vitória,"21,745"
(MG),Santo Antônio do Amparo,"17,651"
(MG),Santo Antônio do Aventureiro,"3,881"
(MG),Santo Antônio do Grama,"4,342"
(MG),Santo Antônio do Itambé,"3,979"
(MG),Santo Antônio do Jacinto,"10,397"
(MG),Santo Antônio do Monte,"28,358"
(MG),Santo Antônio do Retiro,"6,743"
(MG),Santo Antônio do Rio Abaixo,"1,853"
(MG),Santo Hipólito,"2,720"
(MG),Santos Dumont,"43,392"
(MG),São Bento Abade,"4,835"
(MG),São Brás do Suaçuí,"4,133"
(MG),São Domingos das Dores,"5,778"
(MG),São Domingos do Prata,"17,771"
(MG),São Félix de Minas,"3,252"
(MG),São Francisco,"54,239"
(MG),São Francisco de Paula,"6,293"
(MG),São Francisco de Sales,"5,857"
(MG),São Francisco do Glória,"4,866"
(MG),São Geraldo,"10,517"
(MG),São Geraldo da Piedade,"3,258"
(MG),São Geraldo do Baixio,"3,175"
(MG),São Gonçalo do Abaeté,"7,521"
(MG),São Gonçalo do Pará,"12,192"
(MG),São Gonçalo do Rio Abaixo,"12,353"
(MG),São Gonçalo do Sapucaí,"24,480"
(MG),São Gotardo,"43,309"
(MG),São João Batista do Glória,"7,912"
(MG),São João da Lagoa,"4,950"
(MG),São João da Mata,"3,000"
(MG),São João da Ponte,"24,269"
(MG),São João das Missões,"13,467"
(MG),São João del Rei,"94,062"
(MG),São João do Manhuaçu,"11,614"
(MG),São João do Manteninha,"5,468"
(MG),São João do Oriente,"7,139"
(MG),São João do Pacuí,"4,052"
(MG),São João do Paraíso,"24,604"
(MG),São João Evangelista,"15,617"
(MG),São João Nepomuceno,"26,478"
(MG),São Joaquim de Bicas,"36,496"
(MG),São José da Barra,"8,084"
(MG),São José da Lapa,"27,710"
(MG),São José da Safira,"3,861"
(MG),São José da Varginha,"4,677"
(MG),São José do Alegre,"4,242"
(MG),São José do Divino,"3,501"
(MG),São José do Goiabal,"5,492"
(MG),São José do Jacuri,"6,298"
(MG),São José do Mantimento,"2,834"
(MG),São Lourenço,"46,653"
(MG),São Miguel do Anta,"6,430"
(MG),São Pedro da União,"4,979"
(MG),São Pedro dos Ferros,"7,194"
(MG),São Pedro do Suaçuí,"5,166"
(MG),São Romão,"10,553"
(MG),São Roque de Minas,"7,341"
(MG),São Sebastião da Bela Vista,"6,694"
(MG),São Sebastião da Vargem Alegre,"3,219"
(MG),São Sebastião do Anta,"6,386"
(MG),São Sebastião do Maranhão,"10,244"
(MG),São Sebastião do Oeste,"9,355"
(MG),São Sebastião do Paraíso,"74,742"
(MG),São Sebastião do Rio Preto,"1,248"
(MG),São Sebastião do Rio Verde,"2,373"
(MG),São Tiago,"11,517"
(MG),São Tomás de Aquino,"6,853"
(MG),São Tomé das Letras,"7,089"
(MG),São Vicente de Minas,"6,935"
(MG),Sapucaí-Mirim,"6,462"
(MG),Sardoá,"5,164"
(MG),Sarzedo,"39,327"
(MG),Setubinha,"10,032"
(MG),Sem-Peixe,"2,441"
(MG),Senador Amaral,"6,458"
(MG),Senador Cortes,"2,319"
(MG),Senador Firmino,"7,945"
(MG),Senador José Bento,"2,137"
(MG),Senador Modestino Gonçalves,"4,035"
(MG),Senhora de Oliveira,"5,584"
(MG),Senhora do Porto,"3,088"
(MG),Senhora dos Remédios,"10,640"
(MG),Sericita,"7,536"
(MG),Seritinga,"1,864"
(MG),Serra Azul de Minas,"3,829"
(MG),Serra da Saudade,"854"
(MG),Serra dos Aimorés,"6,936"
(MG),Serra do Salitre,"12,210"
(MG),Serrania,"7,802"
(MG),Serranópolis de Minas,"4,496"
(MG),Serranos,"2,035"
(MG),Serro,"22,550"
(MG),Sete Lagoas,"237,931"
(MG),Silveirânia,"2,391"
(MG),Silvianópolis,"6,336"
(MG),Simão Pereira,"3,060"
(MG),Simonésia,"20,339"
(MG),Sobrália,"5,175"
(MG),Soledade de Minas,"5,733"
(MG),Tabuleiro,"4,098"
(MG),Taiobeiras,"34,392"
(MG),Taparuba,"3,492"
(MG),Tapira,"4,212"
(MG),Tapiraí,"1,707"
(MG),Taquaraçu de Minas,"4,368"
(MG),Tarumirim,"15,072"
(MG),Teixeiras,"12,634"
(MG),Teófilo Otoni,"142,571"
(MG),Timóteo,"84,087"
(MG),Tiradentes,"8,008"
(MG),Tiros,"8,172"
(MG),Tocantins,"16,574"
(MG),Tocos do Moji,"3,899"
(MG),Toledo,"7,541"
(MG),Tombos,"8,699"
(MG),Três Corações,"78,079"
(MG),Três Marias,"29,927"
(MG),Três Pontas,"57,086"
(MG),Tumiritinga,"5,973"
(MG),Tupaciguara,"26,482"
(MG),Turmalina,"20,650"
(MG),Turvolândia,"5,078"
(MG),Ubá,"107,222"
(MG),Ubaí,"11,977"
(MG),Ubaporanga,"13,423"
(MG),Uberaba,"354,142"
(MG),Uberlândia,"754,954"
(MG),Umburatiba,"2,742"
(MG),Unaí,"90,724"
(MG),União de Minas,"3,848"
(MG),Uruana de Minas,"3,360"
(MG),Urucânia,"10,875"
(MG),Urucuia,"18,291"
(MG),Vargem Alegre,"5,834"
(MG),Vargem Bonita,"2,206"
(MG),Vargem Grande do Rio Pardo,"4,727"
(MG),Varginha,"142,802"
(MG),Varjão de Minas,"7,243"
(MG),Várzea da Palma,"34,639"
(MG),Varzelândia,"19,214"
(MG),Vazante,"20,433"
(MG),Verdelândia,"7,770"
(MG),Veredinha,"5,257"
(MG),Veríssimo,"3,480"
(MG),Vermelho Novo,"5,034"
(MG),Vespasiano,"136,826"
(MG),Viçosa,"79,221"
(MG),Vieiras,"3,780"
(MG),Mathias Lobato,"3,069"
(MG),Virgem da Lapa,"11,867"
(MG),Virgínia,"9,142"
(MG),Virginópolis,"10,519"
(MG),Virgolândia,"4,530"
(MG),Visconde do Rio Branco,"40,608"
(MG),Volta Grande,"4,473"
(MG),Wenceslau Braz,"2,387"
(ES),Afonso Cláudio,"32,446"
(ES),Águia Branca,"10,124"
(ES),Água Doce do Norte,"12,559"
(ES),Alegre,"30,744"
(ES),Alfredo Chaves,"14,373"
(ES),Alto Rio Novo,"7,747"
(ES),Anchieta,"32,584"
(ES),Apiacá,"7,474"
(ES),Aracruz,"102,410"
(ES),Atílio Vivácqua,"11,013"
(ES),Baixo Guandu,"32,694"
(ES),Barra de São Francisco,"45,250"
(ES),Boa Esperança,"14,079"
(ES),Bom Jesus do Norte,"10,764"
(ES),Brejetuba,"13,642"
(ES),Cachoeiro de Itapemirim,"198,323"
(ES),Cariacica,"375,485"
(ES),Castelo,"39,396"
(ES),Colatina,"128,622"
(ES),Conceição da Barra,"28,953"
(ES),Conceição do Castelo,"12,448"
(ES),Divino de São Lourenço,"5,359"
(ES),Domingos Martins,"37,972"
(ES),Dores do Rio Preto,"6,885"
(ES),Ecoporanga,"22,670"
(ES),Fundão,"18,824"
(ES),Governador Lindenberg,"11,467"
(ES),Guaçuí,"31,290"
(ES),Guarapari,"134,944"
(ES),Ibatiba,"27,308"
(ES),Ibiraçu,"12,261"
(ES),Ibitirama,"9,973"
(ES),Iconha,"12,793"
(ES),Irupi,"14,513"
(ES),Itaguaçu,"14,065"
(ES),Itapemirim,"43,362"
(ES),Itarana,"10,984"
(ES),Iúna,"30,444"
(ES),Jaguaré,"31,232"
(ES),Jerônimo Monteiro,"12,079"
(ES),João Neiva,"14,391"
(ES),Laranja da Terra,"11,572"
(ES),Linhares,"181,912"
(ES),Mantenópolis,"13,173"
(ES),Marataízes,"45,418"
(ES),Marechal Floriano,"18,743"
(ES),Marilândia,"13,014"
(ES),Mimoso do Sul,"25,179"
(ES),Montanha,"19,752"
(ES),Mucurici,"5,660"
(ES),Muniz Freire,"18,811"
(ES),Muqui,"14,213"
(ES),Nova Venécia,"52,084"
(ES),Pancas,"19,270"
(ES),Pedro Canário,"22,048"
(ES),Pinheiros,"24,825"
(ES),Piúma,"23,682"
(ES),Ponto Belo,"6,696"
(ES),Presidente Kennedy,"14,647"
(ES),Rio Bananal,"20,229"
(ES),Rio Novo do Sul,"11,479"
(ES),Santa Leopoldina,"13,747"
(ES),Santa Maria de Jetibá,"45,062"
(ES),Santa Teresa,"23,796"
(ES),São Domingos do Norte,"9,008"
(ES),São Gabriel da Palha,"34,210"
(ES),São José do Calçado,"11,373"
(ES),São Mateus,"133,359"
(ES),São Roque do Canaã,"11,271"
(ES),Serra,"572,274"
(ES),Sooretama,"28,453"
(ES),Vargem Alta,"20,353"
(ES),Venda Nova do Imigrante,"25,168"
(ES),Viana,"78,442"
(ES),Vila Pavão,"9,298"
(ES),Vila Valério,"14,263"
(ES),Vila Velha,"502,899"
(ES),Vitória,"342,800"
(RJ),Angra dos Reis,"179,120"
(RJ),Aperibé,"11,420"
(RJ),Araruama,"137,773"
(RJ),Areal,"12,236"
(RJ),Armação dos Búzios,"42,442"
(RJ),Arraial do Cabo,"32,794"
(RJ),Barra do Piraí,"98,501"
(RJ),Barra Mansa,"181,688"
(RJ),Belford Roxo,"518,263"
(RJ),Bom Jardim,"29,736"
(RJ),Bom Jesus do Itabapoana,"37,172"
(RJ),Cabo Frio,"238,166"
(RJ),Cachoeiras de Macacu,"59,837"
(RJ),Cambuci,"15,070"
(RJ),Carapebus,"14,325"
(RJ),Comendador Levy Gasparian,"9,044"
(RJ),Campos dos Goytacazes,"519,011"
(RJ),Cantagalo,"19,996"
(RJ),Cardoso Moreira,"13,403"
(RJ),Carmo,"17,740"
(RJ),Casimiro de Abreu,"48,563"
(RJ),Conceição de Macabu,"21,769"
(RJ),Cordeiro,"21,444"
(RJ),Duas Barras,"11,354"
(RJ),Duque de Caxias,"866,347"
(RJ),Engenheiro Paulo de Frontin,"12,648"
(RJ),Guapimirim,"54,300"
(RJ),Iguaba Grande,"29,577"
(RJ),Itaboraí,"240,040"
(RJ),Itaguaí,"123,980"
(RJ),Italva,"14,517"
(RJ),Itaocara,"23,643"
(RJ),Itaperuna,"107,246"
(RJ),Itatiaia,"32,694"
(RJ),Japeri,"102,149"
(RJ),Laje do Muriaé,"7,584"
(RJ),Macaé,"264,138"
(RJ),Macuco,"5,601"
(RJ),Magé,"244,092"
(RJ),Mangaratiba,"43,624"
(RJ),Maricá,"211,986"
(RJ),Mendes,"18,049"
(RJ),Mesquita,"178,803"
(RJ),Miguel Pereira,"28,123"
(RJ),Miracema,"28,411"
(RJ),Natividade,"15,550"
(RJ),Nilópolis,"155,544"
(RJ),Niterói,"516,720"
(RJ),Nova Friburgo,"203,328"
(RJ),Nova Iguaçu,"843,046"
(RJ),Paracambi,"43,656"
(RJ),Paraíba do Sul,"44,467"
(RJ),Paraty,"47,614"
(RJ),Paty do Alferes,"31,345"
(RJ),Petrópolis,"294,983"
(RJ),Pinheiral,"25,085"
(RJ),Piraí,"29,054"
(RJ),Porciúncula,"17,832"
(RJ),Porto Real,"21,064"
(RJ),Quatis,"14,158"
(RJ),Queimados,"149,093"
(RJ),Quissamã,"23,126"
(RJ),Resende,"137,612"
(RJ),Rio Bonito,"59,113"
(RJ),Rio Claro,"17,950"
(RJ),Rio das Flores,"9,264"
(RJ),Rio das Ostras,"168,099"
(RJ),Rio de Janeiro,"6,729,894"
(RJ),Santa Maria Madalena,"10,579"
(RJ),Santo Antônio de Pádua,"43,686"
(RJ),São Francisco de Itabapoana,"47,368"
(RJ),São Fidélis,"41,197"
(RJ),São Gonçalo,"960,652"
(RJ),São João da Barra,"38,708"
(RJ),São João de Meriti,"466,536"
(RJ),São José de Ubá,"7,315"
(RJ),São José do Vale do Rio Preto,"22,799"
(RJ),São Pedro da Aldeia,"110,556"
