Município de notificação;Em Branco/ign;Semana 01;Semana 02;Semana 03;Semana 04;Semana 05;Semana 06;Semana 07;Semana 08;Semana 09;Semana 10;Semana 11;Semana 12;Semana 13;Semana 14;Semana 15;Semana 16;Semana 17;Semana 18;Semana 19;Semana 20;Semana 21;Semana 22;Semana 23;Semana 24;Semana 25;Semana 26;Semana 27;Semana 28;Semana 29;Semana 30;Semana 31;Semana 32;Semana 33;Semana 34;Semana 35;Semana 36;Semana 37;Semana 38;Semana 39;Semana 40;Semana 41;Semana 42;Semana 43;Semana 44;Semana 45;Semana 46;Semana 47;Semana 48;Semana 49;Semana 50;Semana 51;Semana 52;Semana 53;Total
260250 BREJINHO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
260260 BREJO DA MADRE DE DEUS;-;-;-;-;-;-;1;1;-;-;-;-;-;1;4;-;-;-;-;-;5;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;18
260270 BUENOS AIRES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
260280 BUIQUE;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
260290 CABO DE SANTO AGOSTINHO;-;12;4;7;16;7;9;6;7;9;2;14;13;9;14;11;13;10;16;20;16;13;7;11;6;10;3;4;4;10;9;8;5;5;8;8;1;2;2;3;1;6;4;-;8;9;4;8;11;12;13;16;8;5;439
260300 CABROBO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4;3;-;-;-;3;2;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
260320 CAETES;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
260330 CALCADO;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
260340 CALUMBI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
260345 CAMARAGIBE;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;-;1;-;2;-;-;-;3;-;1;-;-;1;-;-;2;1;-;1;-;-;1;1;-;-;2;1;2;-;1;1;-;25
260350 CAMOCIM DE SAO FELIX;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
260360 CAMUTANGA;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
260390 CARNAIBA;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;1;-;-;-;-;1;1;2;2;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
260392 CARNAUBEIRA DA PENHA;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
260400 CARPINA;1;-;-;1;-;5;4;1;-;1;-;-;1;1;1;1;1;-;-;-;2;3;4;4;7;5;5;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;4;5;-;-;8;11;11;2;-;93
260410 CARUARU;-;-;-;-;-;1;-;2;-;2;-;6;1;7;2;2;2;1;2;2;4;4;2;3;3;2;5;4;1;-;-;-;2;-;1;1;1;-;-;-;1;1;2;1;-;2;-;-;-;-;-;-;-;-;70
260415 CASINHAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
260420 CATENDE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
